common_name,botanical_name,plant_url
Southern Maiden Hair,Adiantum capillus-veneris,//legacy.calscape.org/qrcodes/Adiantum-capillus-veneris(192)
Baldhip Rose,Rosa gymnocarpa,//legacy.calscape.org/qrcodes/Rosa-gymnocarpa(192)
Coastal Agave,Agave shawii,//legacy.calscape.org/qrcodes/Agave-shawii(192)
Redflower Buckwheat,Eriogonum grande,//legacy.calscape.org/qrcodes/Eriogonum-grande(192)
Sandmat Manzanita,Arctostaphylos pumila,//legacy.calscape.org/qrcodes/Arctostaphylos-pumila(192)
Broom Baccharis,Baccharis sarothroides,//legacy.calscape.org/qrcodes/Baccharis-sarothroides(192)
Interior California Buckwheat,Eriogonum fasciculatum var. polifolium,//legacy.calscape.org/qrcodes/Eriogonum-fasciculatum-var.-polifolium(192)
Munz's Sage,Salvia munzii,//legacy.calscape.org/qrcodes/Salvia-munzii(192)
Otay Manzanita,Arctostaphylos otayensis,//legacy.calscape.org/qrcodes/Arctostaphylos-otayensis(192)
Succulent Lupine,Lupinus succulentus,//legacy.calscape.org/qrcodes/Lupinus-succulentus(192)
Western Sword Fern,Polystichum munitum,//legacy.calscape.org/qrcodes/Polystichum-munitum(192)
One Leaf Onion,Allium unifolium,//legacy.calscape.org/qrcodes/Allium-unifolium(192)
Joshua Tree,Yucca brevifolia,//legacy.calscape.org/qrcodes/Yucca-brevifolia(192)
California Wildrose,Rosa californica,//legacy.calscape.org/qrcodes/Rosa-californica(192)
Desert Wild Grape,Vitis girdiana,//legacy.calscape.org/qrcodes/Vitis-girdiana(192)
Redwood Sorrel,Oxalis oregana,//legacy.calscape.org/qrcodes/Oxalis-oregana(192)
Western False Indigo,Amorpha fruticosa,//legacy.calscape.org/qrcodes/Amorpha-fruticosa(192)
Big Sagebrush,Artemisia tridentata,//legacy.calscape.org/qrcodes/Artemisia-tridentata(192)
Golden Yarrow,Eriophyllum confertiflorum,//legacy.calscape.org/qrcodes/Eriophyllum-confertiflorum(192)
Glossy Leaved Manzanita,Arctostaphylos nummularia,//legacy.calscape.org/qrcodes/Arctostaphylos-nummularia(192)
Chaparral Pea,Pickeringia montana,//legacy.calscape.org/qrcodes/Pickeringia-montana(192)
Yellow Eyed Grass,Sisyrinchium californicum,//legacy.calscape.org/qrcodes/Sisyrinchium-californicum(192)
Chamise,Adenostoma fasciculatum,//legacy.calscape.org/qrcodes/Adenostoma-fasciculatum(192)
California Fescue,Festuca californica,//legacy.calscape.org/qrcodes/Festuca-californica(192)
Spiny Redberry,Rhamnus crocea,//legacy.calscape.org/qrcodes/Rhamnus-crocea(192)
Dutchmans Pipe,Aristolochia californica,//legacy.calscape.org/qrcodes/Aristolochia-californica(192)
Coast Buckwheat,Eriogonum latifolium,//legacy.calscape.org/qrcodes/Eriogonum-latifolium(192)
Fragrant Pitcher Sage,Lepechinia fragrans,//legacy.calscape.org/qrcodes/Lepechinia-fragrans(192)
Coast Redwood,Sequoia sempervirens,//legacy.calscape.org/qrcodes/Sequoia-sempervirens(192)
Large Flowered Phacelia,Phacelia grandiflora,//legacy.calscape.org/qrcodes/Phacelia-grandiflora(192)
Refugio Manzanita,Arctostaphylos refugioensis,//legacy.calscape.org/qrcodes/Arctostaphylos-refugioensis(192)
Hairy Ceanothus,Ceanothus oliganthus,//legacy.calscape.org/qrcodes/Ceanothus-oliganthus(192)
Yellow Stonecrop,Sedum spathulifolium,//legacy.calscape.org/qrcodes/Sedum-spathulifolium(192)
Arroyo de la Cruz Manzanita,Arctostaphylos cruzensis,//legacy.calscape.org/qrcodes/Arctostaphylos-cruzensis(192)
Purple Needlegrass,Stipa pulchra,//legacy.calscape.org/qrcodes/Stipa-pulchra(192)
Yerba Buena,Clinopodium douglasii,//legacy.calscape.org/qrcodes/Clinopodium-douglasii(192)
Western Azalea,Rhododendron occidentale,//legacy.calscape.org/qrcodes/Rhododendron-occidentale(192)
